words,00s,10s,20s,50s,60s,70s,80s,90s
215,0,0,1,0,0,0,0,0
216,0,0,1,0,0,0,0,0
217,0,0,1,0,0,0,0,0
218,0,0,1,0,0,0,0,0
219,0,0,1,0,0,0,0,0
21drugrixh,0,0,1,0,0,0,0,0
21kilo,0,0,1,0,0,0,0,0
21migo,0,0,1,0,0,0,0,0
21najuly,0,0,1,0,0,0,0,0
21najune,0,0,1,0,0,0,0,0
21namay,0,0,1,0,0,0,0,0
21necklace,0,0,1,0,0,0,0,0
21taylor,0,0,1,0,0,0,0,0
21tory,0,0,1,0,0,0,0,0
22,0,1,3,0,0,1,0,0
220,0,0,2,0,0,0,0,1
2201,0,0,0,0,0,0,0,1
2204,0,0,0,0,0,0,0,1
221,0,0,1,0,0,0,0,0
222,0,0,1,0,0,0,0,0
223,0,0,2,0,0,0,0,0
224,0,0,1,0,0,0,0,0
225,0,0,1,0,0,0,0,0
226,0,0,1,0,0,0,0,0
227,0,0,1,0,0,0,0,0
228,0,0,1,0,0,0,0,0
229,0,0,1,0,0,0,0,0
22aap,0,0,1,0,0,0,0,0
22casey,0,0,1,0,0,0,0,0
22najuly,0,0,1,0,0,0,0,0
22najune,0,0,1,0,0,0,0,0
22namay,0,0,1,0,0,0,0,0
22naseptember,0,0,1,0,0,0,0,0
22playboi,0,0,1,0,0,0,0,0
22the,0,0,1,0,0,0,0,0
22wale,0,0,1,0,0,0,0,0
23,0,1,2,0,0,1,0,0
230,0,0,1,0,0,0,0,0
2304,0,0,0,0,0,0,0,1
231,0,0,1,0,0,0,0,0
232,0,0,1,0,0,0,0,0
233,0,0,1,0,0,0,0,0
234,0,0,1,0,0,0,0,0
235,0,0,1,0,0,0,0,0
2359,0,0,1,0,0,0,0,0
236,0,0,1,0,0,0,0,0
237,0,0,1,0,0,0,0,0
238,0,0,1,0,0,0,0,0
239,0,0,1,0,0,0,0,0
23at,0,0,1,0,0,0,0,0
23blue,0,0,1,0,0,0,0,0
23drugrixh,0,0,1,0,0,0,0,0
23e40,0,0,1,0,0,0,0,0
23najune,0,0,1,0,0,0,0,0
23namay,0,0,1,0,0,0,0,0
23nao,0,0,1,0,0,0,0,0
23naseptember,0,0,1,0,0,0,0,0
23wafia,0,0,1,0,0,0,0,0
24,0,1,3,0,0,2,0,0
240,0,0,1,0,0,0,0,0
2403,0,0,0,0,0,0,0,1
241,0,0,1,0,0,0,0,0
242,0,0,1,0,0,0,0,0
243,0,0,1,0,1,0,0,0
244,0,0,1,0,0,0,0,0
245,0,0,1,0,0,0,0,0
246,0,0,1,0,0,0,0,0
247,0,0,2,0,0,0,0,0
248,0,0,1,0,0,0,0,0
249,0,0,1,0,0,0,0,0
24belly,0,0,1,0,0,0,0,0
24bob,0,0,1,0,0,0,0,0
24famous,0,0,1,0,0,0,0,0
24hrs,0,0,1,0,0,0,0,0
24namay,0,0,1,0,0,0,0,0
24scrape,0,0,1,0,0,0,0,0
24taku,0,0,1,0,0,0,0,0
24teddy3,0,0,1,0,0,0,0,0
24vacationer,0,0,1,0,0,0,0,0
25,0,1,3,0,0,1,0,1
250,0,0,1,0,0,0,0,0
25000,0,0,1,0,0,0,0,0
2503,0,0,0,0,0,0,0,1
2506,0,0,0,0,0,0,0,1
251,0,0,1,0,0,0,0,1
252,0,0,1,0,0,0,0,0
253,0,0,1,0,0,0,0,0
254,0,0,1,0,0,0,0,0
255,0,0,1,0,0,0,0,0
256,0,0,1,0,0,0,0,0
256ix9ine,0,0,1,0,0,0,0,0
257,0,0,1,0,0,0,0,0
258,0,0,1,0,0,0,0,0
259,0,0,1,0,0,0,0,0
25daye,0,0,1,0,0,0,0,0
25j,0,0,1,0,0,0,0,0
25jamila,0,0,1,0,0,0,0,0
25naaugust,0,0,1,0,0,0,0,0
25namarch,0,0,1,0,0,0,0,0
25namay,0,0,1,0,0,0,0,0
25naseptember,0,0,1,0,0,0,0,0
25pierre,0,0,1,0,0,0,0,0
26,0,1,2,0,0,1,0,0
260,0,0,1,0,0,0,0,0
2601,0,0,0,0,0,0,0,1
2602,0,0,0,0,0,0,0,1
2603,0,0,0,0,0,0,0,1
2604,0,0,0,0,0,0,0,1
261,0,0,1,0,0,0,0,0
262,0,0,1,0,0,0,0,0
263,0,0,1,0,0,0,0,0
264,0,0,1,0,0,0,0,0
265,0,0,1,0,0,0,0,0
266,0,0,1,0,0,0,0,0
267,0,0,1,0,0,0,0,0
268,0,0,1,0,0,0,0,0
269,0,0,1,0,0,0,0,0
26aap,0,0,1,0,0,0,0,0
26namarch,0,0,1,0,0,0,0,0
26naseptember,0,0,1,0,0,0,0,0
26pyrmdplaza,0,0,1,0,0,0,0,0
26rayana,0,0,1,0,0,0,0,0
26the,0,0,1,0,0,0,0,0
26tinashe,0,0,1,0,0,0,0,0
26towkio,0,0,1,0,0,0,0,0
26young,0,0,1,0,0,0,0,0
27,0,1,3,0,0,1,0,0
270,0,0,1,0,0,0,0,0
2701,0,0,0,0,0,0,0,1
2704,0,0,0,0,0,0,0,1
271,0,0,1,0,0,0,0,0
272,0,0,1,0,0,0,0,0
273,0,0,1,0,0,0,0,0
274,0,0,1,0,0,0,0,0
275,0,0,1,0,0,0,0,0
276,0,0,1,0,0,0,0,0
277,0,0,1,0,0,0,0,0
278,0,0,1,0,0,0,0,0
279,0,0,1,0,0,0,0,0
27childish,0,0,1,0,0,0,0,0
27k1d,0,0,1,0,0,0,0,0
27najune,0,0,1,0,0,0,0,0
27namarch,0,0,1,0,0,0,0,0
27namay,0,0,1,0,0,0,0,0
27naseptember,0,0,1,0,0,0,0,0
27needtobreathe,0,0,1,0,0,0,0,0
27snoop,0,0,1,0,0,0,0,0
27unotheactivist,0,0,1,0,0,0,0,0
28,0,1,2,0,0,0,0,0
280,0,0,1,0,0,0,0,0
2801,0,0,0,0,0,0,0,1
